lng,lat
-9.19944444444445,30.675
-8.4693,31.1888
-5.428,35.5076
-9.1273,30.0546
-5.8885,32.6934
-6.1797,32.6262
-2.9609,33.5685
-7.63722222222222,32.4747222222222
-4.67611111111111,33.9319444444444
-5.19879,34.6003
-9.43333333333333,29.7888888888889
-4.574583,34.612083
-4.3147,34.0374
-9.5832,31.3564
-2.082,34.1141
-6.46388888888889,32.1066666666667
-4.5769,34.6371
-5.3457,35.2838
-8.06361111111111,32.9358333333333
-5.7786,35.2389
-9.28555555555556,30.5691666666667
-5.90666666666667,34.0422222222222
-4.56111111111111,33.7666666666667
-7.07833333333333,31.8458333333333
-4.46166666666667,31.9938888888889
-4.795,32.8067
-11.1602222222222,35.64
-4.74888888888889,34.1611111111111
-7.92666666666667,32.7255555555556
-8.531,30.6734
-4.6493,33.2464
-4.3603,35.0664
-8.13583333333333,31.355
-3.81916666666667,35.0855555555556
-6.76666666666667,30.9166666666667
-2.805,34.7366666666667
-5.1793,33.494
-2.93833333333333,34.6630555555555
-7.9738,30.7278
-9.6758,30.7741
-7.26111111111111,31.6452777777778
-5.5044,35.7014
-11.2968333333333,35.4455555555556
-5.8072,35.5407
-15.0388888888889,34.9416666666667
-7.33,33.5
-6.7507,33.9382
-9.6329,31.1338
-4.6798,34.5949
-13.218,27.2072
-6.82277777777778,31.8147222222222
-5.3384,34.0832
-8.1069,33.1434
-5.3854,35.6856
-7.1216,30.9712
-5.0777,32.5301
-7.0842,33.1939
-5.9012,35.7719
-7.2704,31.7304
-9.2176,28.414
-8.0814,31.2157
-9.49472222222222,29.8455555555556
